id,ticker,strike,expiry,price,size,date
1000718,AAPL,145,2024-06-21,1.62,100,2023-12-04
1000719,AAPL,150,2024-06-21,2,100,2023-12-04
1000720,AAPL,155,2024-06-21,2.47,100,2023-12-04
1000721,AAPL,160,2024-06-21,3.1,100,2023-12-04
1000722,AAPL,165,2024-06-21,3.8,100,2023-12-04
1000723,AAPL,170,2024-06-21,4.7,100,2023-12-04
1000724,AAPL,175,2024-06-21,5.8,100,2023-12-04
1000725,AAPL,180,2024-06-21,7.15,100,2023-12-04
1000726,AAPL,185,2024-06-21,8.7,100,2023-12-04
1000727,AAPL,190,2024-06-21,10.55,100,2023-12-04
1000728,AAPL,195,2024-06-21,12.8,100,2023-12-04
1000729,AAPL,200,2024-06-21,15.4,100,2023-12-04
1000730,AAPL,205,2024-06-21,18.7,100,2023-12-04
1000731,AAPL,210,2024-06-21,22.1,100,2023-12-04
1000732,AAPL,215,2024-06-21,26.25,100,2023-12-04
1000733,AAPL,220,2024-06-21,31.4,100,2023-12-04
1000734,AAPL,225,2024-06-21,36.1,100,2023-12-04
1000735,AAPL,230,2024-06-21,41.15,100,2023-12-04
1000736,AAPL,235,2024-06-21,46.15,100,2023-12-04
1000737,AAPL,240,2024-06-21,51.1,100,2023-12-04
1000738,AAPL,245,2024-06-21,56.55,100,2023-12-04
1000739,AAPL,250,2024-06-21,60.95,100,2023-12-04
1000740,AAPL,255,2024-06-21,66.2,100,2023-12-04
1000741,AAPL,260,2024-06-21,71,100,2023-12-04
1000742,AAPL,265,2024-06-21,76.1,100,2023-12-04
1000743,AAPL,270,2024-06-21,81.05,100,2023-12-04
1000744,AAPL,275,2024-06-21,86.05,100,2023-12-04
1000745,AAPL,280,2024-06-21,91.25,100,2023-12-04
1000839,AAPL,120,2024-01-05,0.05,100,2023-12-04
1000840,AAPL,125,2024-01-05,0.06,100,2023-12-04
1000841,AAPL,130,2024-01-05,0.04,100,2023-12-04
1000842,AAPL,135,2024-01-05,0.05,100,2023-12-04
1000843,AAPL,140,2024-01-05,0.09,100,2023-12-04
1000844,AAPL,145,2024-01-05,0.1,100,2023-12-04
1000845,AAPL,150,2024-01-05,0.1,100,2023-12-04
1000846,AAPL,155,2024-01-05,0.12,100,2023-12-04
1000847,AAPL,160,2024-01-05,0.14,100,2023-12-04
1000848,AAPL,165,2024-01-05,0.19,100,2023-12-04
1000849,AAPL,170,2024-01-05,0.27,100,2023-12-04
1000850,AAPL,175,2024-01-05,0.45,100,2023-12-04
1000851,AAPL,180,2024-01-05,0.86,100,2023-12-04
1000852,AAPL,185,2024-01-05,1.78,100,2023-12-04
1000853,AAPL,190,2024-01-05,3.55,100,2023-12-04
1000854,AAPL,195,2024-01-05,6.55,100,2023-12-04
1000855,AAPL,200,2024-01-05,11,100,2023-12-04
1000856,AAPL,205,2024-01-05,16.05,100,2023-12-04
1000857,AAPL,210,2024-01-05,21.05,100,2023-12-04
1000858,AAPL,215,2024-01-05,26,100,2023-12-04
1000859,AAPL,220,2024-01-05,31,100,2023-12-04
1000860,AAPL,225,2024-01-05,36.05,100,2023-12-04
1000861,AAPL,230,2024-01-05,41,100,2023-12-04
1000862,AAPL,235,2024-01-05,46.05,100,2023-12-04
1000863,AAPL,240,2024-01-05,51.05,100,2023-12-04
1000864,AAPL,245,2024-01-05,56.05,100,2023-12-04
1000865,AAPL,250,2024-01-05,61.05,100,2023-12-04
1000866,AAPL,255,2024-01-05,66,100,2023-12-04
1000867,AAPL,260,2024-01-05,71.05,100,2023-12-04
1000868,AAPL,265,2024-01-05,76,100,2023-12-04
1000869,AAPL,120,2024-01-12,0.06,100,2023-12-04
1000870,AAPL,125,2024-01-12,0.06,100,2023-12-04
1000871,AAPL,130,2024-01-12,0.07,100,2023-12-04
1000872,AAPL,135,2024-01-12,0.1,100,2023-12-04
1000873,AAPL,140,2024-01-12,0.09,100,2023-12-04
1000874,AAPL,145,2024-01-12,0.12,100,2023-12-04
1000875,AAPL,150,2024-01-12,0.13,100,2023-12-04
1000876,AAPL,155,2024-01-12,0.16,100,2023-12-04
1000877,AAPL,160,2024-01-12,0.2,100,2023-12-04
1000878,AAPL,165,2024-01-12,0.26,100,2023-12-04
1000879,AAPL,170,2024-01-12,0.39,100,2023-12-04
1000880,AAPL,175,2024-01-12,0.63,100,2023-12-04
